community;long;lat;bio01;bio02;bio03;bio04;bio05;bio06;bio07;bio08;bio09;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19
1;-3.536167;37.081306;117;104;349;6270;279;-18;297;55;212;212;38;588;91;3;58;262;11;11;245
2;-3.507389;37.079667;99;104;352;6199;259;-36;295;37;192;192;20;614;93;4;58;269;14;14;251
3;-3.481778;37.077306;81;104;354;6132;240;-53;293;21;173;173;3;632;95;4;57;275;14;14;255
4;-3.008972;37.02325;115;96;340;6082;267;-14;281;55;207;207;38;417;60;4;50;175;18;18;160
5;-3.011806;37.060722;94;97;344;6049;246;-36;282;34;185;185;17;433;60;5;49;177;19;19;162
6;-3.024278;37.102278;67;99;349;5994;219;-63;282;8;157;157;-9;581;80;5;53;230;19;19;223
7;-3.573444;37.0375;111;103;350;6192;271;-23;294;50;204;204;32;628;99;4;58;285;14;14;263
8;-3.526278;37.043028;99;103;352;6157;257;-35;293;37;191;191;20;638;99;4;58;285;14;14;265
9;-3.481917;37.139861;109;105;350;6302;272;-27;299;46;204;204;29;615;92;4;58;269;12;12;252
10;-3.454472;37.112889;95;104;352;6222;256;-40;296;33;189;189;16;612;91;4;57;265;14;14;249
11;-3.435472;37.112667;79;104;354;6155;239;-55;294;18;172;172;1;636;93;4;56;270;14;14;253
12;-3.354028;36.927583;117;98;345;6074;271;-14;285;57;209;209;40;525;85;4;54;236;14;14;207
13;-3.346333;36.940833;104;98;346;6038;257;-26;284;45;195;195;27;563;88;5;53;246;17;17;218
14;-3.335639;36.964472;74;99;351;5957;226;-56;282;16;163;163;-2;585;87;5;51;246;19;19;221
15;-2.778306;37.029972;114;89;332;5887;258;-9;267;57;203;203;40;412;51;6;44;152;22;22;145
16;-2.803528;37.033333;106;90;334;5881;250;-18;268;48;194;194;31;431;57;6;44;165;24;24;153
17;-3.742298;37.636322;136;107;341;6700;309;-3;312;67;237;237;50;529;75;4;54;215;16;16;203
18;-3.721234;37.662249;141;106;340;6742;315;2;313;72;244;244;55;649;92;5;53;262;19;19;254
19;-3.731011;37.669289;148;106;339;6774;322;9;314;78;251;251;62;631;90;5;54;256;19;19;248
20;-3.711252;37.646035;130;107;342;6679;303;-9;311;62;231;231;45;672;96;5;53;272;21;21;260
21;-2.558345;38.297897;109;103;342;6511;279;-22;301;42;208;208;27;772;105;10;47;295;40;40;275
22;-2.598052;38.293371;112;103;341;6538;283;-19;302;45;212;212;30;756;106;9;49;296;35;35;278
23;-3.704516;37.650917;130;106;342;6683;303;-9;311;61;231;231;44;703;100;5;52;284;21;21;270
24;-3.716954;37.613366;128;107;343;6655;300;-11;311;60;228;228;43;571;81;4;54;231;16;16;225
25;-2.570446;38.309877;116;103;340;6551;287;-15;302;49;216;216;33;708;97;9;47;272;35;35;251
26;-2.595117;38.284172;113;103;341;6540;284;-18;302;46;213;213;30;747;104;9;49;292;35;35;274
27;-6.5598;37.01636;186;68;322;4749;303;92;211;141;257;257;126;603;108;1;69;309;7;7;280
28;-0.74371;37.61004;186;39;222;4679;280;103;177;215;257;257;129;307;50;3;52;126;13;13;103
