community;long;lat;Axis1;Axis2;Axis3;Axis4;Axis5
1;-3.536167;37.081306;0.826882123806142;1.380895877138;-1.31496633912442;1.39098503745702;-0.451708660873239
2;-3.507389;37.079667;-0.0872612434733943;1.60143609385678;-1.30952985878029;2.01568862305959;-0.551853744100531
3;-3.481778;37.077306;-0.941475862541194;1.83692162050064;-1.28419644582938;2.63053489676727;-0.65750281638184
4;-3.008972;37.02325;0.93439238947851;2.00597599444708;0.17592925251597;1.4392570738487;-0.343195559904667
5;-3.011806;37.060722;-0.0662905577221743;2.4080191683451;0.199887211469691;2.10771296173198;-0.484052230570147
6;-3.024278;37.102278;-1.52599332149488;2.29876565242212;-0.491905898827539;3.09245282658342;-0.656524871505043
7;-3.573444;37.0375;0.383630753227157;1.19298861716252;-1.47647733813706;1.61942185593783;-0.488103892848655
8;-3.526278;37.043028;-0.185971930954168;1.39444964747244;-1.43689062083347;2.05925084882826;-0.545770618117341
9;-3.481917;37.139861;0.403707518003355;1.52014438072287;-1.41871634589666;1.60590886431876;-0.503001500843944
10;-3.454472;37.112889;-0.24275432510461;1.75017778467697;-1.26583219086986;2.09460195973651;-0.573938124966772
11;-3.435472;37.112667;-1.01336336050769;1.94218905064217;-1.24466257369733;2.63692775519754;-0.676800940714189
12;-3.354028;36.927583;0.797954401669816;1.36500566822911;-0.697312850646274;1.45851874879773;-0.395757586462919
13;-3.346333;36.940833;0.0942334234529575;1.47310137461136;-0.7461785938649;1.84937502386546;-0.472784930838915
14;-3.335639;36.964472;-1.31571177504103;2.00873529549546;-0.61770763376476;2.84024664689156;-0.661881261672665
15;-2.778306;37.029972;0.773866946718194;1.92911502618508;0.832026594772446;1.42220404152838;-0.322644003934121
16;-2.803528;37.033333;0.319893261447782;1.97226237216319;0.671425419181015;1.69763236898699;-0.370867867695999
17;-3.742298;37.636322;1.85302093113505;1.88779293794157;-1.175337170595;0.313041175050092;-0.305916238677124
18;-3.721234;37.662249;1.78363279055102;1.30590037988077;-1.7680263098671;0.00609634696042671;-0.299378748067152
19;-3.731011;37.669289;2.14635304214796;1.24920464728785;-1.74164596230628;-0.21213259263279;-0.247123449604321
20;-3.711252;37.646035;1.20651493546288;1.35848641239726;-1.8196591589316;0.40989685428646;-0.375775218080147
21;-2.558345;38.297897;-0.152921270812571;1.1957407519348;-1.74197598258726;0.816421626712749;-0.472838396292847
22;-2.598052;38.293371;0.0835617234651927;1.16137728043115;-1.82386021173392;0.796070493639139;-0.435028110060645
23;-3.704516;37.650917;1.11424451153873;1.247482093064;-1.94869767293186;0.379198525447954;-0.387761336345518
24;-3.716954;37.613366;1.39241524960536;1.83303811575435;-1.32852954030612;0.601412262306588;-0.373202750730472
25;-2.570446;38.309877;0.348359220771322;1.35436938345299;-1.51468729047486;0.620456560958377;-0.413370811354339
26;-2.595117;38.284172;0.144150395768278;1.19763052523563;-1.77349565626146;0.766974808178449;-0.425338229370714
27;-6.5598;37.01636;3.64524428153124;-2.56404436587318;-0.120993198903417;0.587624453443096;0.120685554011815
28;-0.74371;37.61004;4.02337503073578;-1.31077130492976;2.69047323327711;0.461812811092688;0.618878452849961
